pin,office_name,district_id,state_id,district_name,state_name,delivery_status,division,region,circle
508117,Chikatimamadi B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508117,Pyaravaram B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508117,Town Bhongir B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Non Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508117,Baswapur B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508117,Medipalli B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508117,Pallipahad B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508126,Ramalingampalli B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508277,Ambala B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508277,Gundal B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508277,Masanpalli B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508277,Addagudur B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508277,Chirragudur B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
533352,Gundala B.O,AP-East Godavari,AP,East Godavari,Andhra Pradesh,Non Delivery,Rajahmundry Division,Visakhapatnam Region,Andhra Pradesh Circle
508105,Namila B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508105,Begampet B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508105,Rajapet B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508113,Palliwada B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508113,Siripur B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508285,Kanchanapalli B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508112,Goprajupalli B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508112,Peddatoor B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508286,Chinakandukur B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508286,Choller B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508286,Motakondur B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508286,Veeravally B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508115,Dattayipalli B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508115,Datarpalli B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508115,Kacharam B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508115,Mallapur B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508255,Angadipet B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508114,Vanipakala B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508252,Koyyalagudem B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508252,Pipalpahad B.O,TS-Yadadri Bhuvanagiri,TS,Yadadri Bhuvanagiri,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508248,Iddampalli B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508248,Konda Bhimanpalli B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508248,Mudigonda B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508248,Polepalli B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508258,Bogguladinne B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508258,Chamdampet B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508258,Goanbowinpalli B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508258,Rahamanthapur B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508258,Thaukalpur B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508257,Ganpellibhimanpally B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508257,Ghanpur B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508257,Gummadvelli B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508257,Shagazipur B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508377,Perur B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508377,Kompally B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508202,Chalakurthi B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508243,Devathapalli B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
508243,Duggiala B.O,TS-Nalgonda,TS,Nalgonda,Telangana,Delivery,Nalgonda Division,Hyderabad Region,Telangana Circle
